"code","name","province_code","city_code"
"230801","市辖区","23","2308"
"230601","市辖区","23","2306"
"230803","向阳区","23","2308"
"230804","前进区","23","2308"
"230602","萨尔图区","23","2306"
"230603","龙凤区","23","2306"
"230805","东风区","23","2308"
"230811","郊区","23","2308"
"230604","让胡路区","23","2306"
"230605","红岗区","23","2306"
"230606","大同区","23","2306"
"230822","桦南县","23","2308"
"230826","桦川县","23","2308"
"230828","汤原县","23","2308"
"230621","肇州县","23","2306"
"230622","肇源县","23","2306"
"230881","同江市","23","2308"
"230882","富锦市","23","2308"
"230623","林甸县","23","2306"
"230624","杜尔伯特蒙古族自治县","23","2306"
"230883","抚远市","23","2308"
"230671","大庆高新技术产业开发区","23","2306"
"230201","市辖区","23","2302"
"230202","龙沙区","23","2302"
"230501","市辖区","23","2305"
"230502","尖山区","23","2305"
"230203","建华区","23","2302"
"230204","铁锋区","23","2302"
"230503","岭东区","23","2305"
"230505","四方台区","23","2305"
"230205","昂昂溪区","23","2302"
"230206","富拉尔基区","23","2302"
"230506","宝山区","23","2305"
"230521","集贤县","23","2305"
"230207","碾子山区","23","2302"
"230208","梅里斯达斡尔族区","23","2302"
"230522","友谊县","23","2305"
"230523","宝清县","23","2305"
"230221","龙江县","23","2302"
"230223","依安县","23","2302"
"230524","饶河县","23","2305"
"230224","泰来县","23","2302"
"230225","甘南县","23","2302"
"230227","富裕县","23","2302"
"230229","克山县","23","2302"
"230230","克东县","23","2302"
"230231","拜泉县","23","2302"
"230281","讷河市","23","2302"
"230301","市辖区","23","2303"
"230302","鸡冠区","23","2303"
"230303","恒山区","23","2303"
"230304","滴道区","23","2303"
"230305","梨树区","23","2303"
"230306","城子河区","23","2303"
"230307","麻山区","23","2303"
"230321","鸡东县","23","2303"
"230701","市辖区","23","2307"
"230717","伊美区","23","2307"
"231001","市辖区","23","2310"
"231002","东安区","23","2310"
"230901","市辖区","23","2309"
"230902","新兴区","23","2309"
"230381","虎林市","23","2303"
"230382","密山市","23","2303"
"230718","乌翠区","23","2307"
"230719","友好区","23","2307"
"231003","阳明区","23","2310"
"230903","桃山区","23","2309"
"230904","茄子河区","23","2309"
"230722","嘉荫县","23","2307"
"230723","汤旺县","23","2307"
"231004","爱民区","23","2310"
"231005","西安区","23","2310"
"230921","勃利县","23","2309"
"230724","丰林县","23","2307"
"230725","大箐山县","23","2307"
"231025","林口县","23","2310"
"231081","绥芬河市","23","2310"
"230726","南岔县","23","2307"
"230751","金林区","23","2307"
"231083","海林市","23","2310"
"231084","宁安市","23","2310"
"230401","市辖区","23","2304"
"230402","向阳区","23","2304"
"231101","市辖区","23","2311"
"231102","爱辉区","23","2311"
"231201","市辖区","23","2312"
"231202","北林区","23","2312"
"230781","铁力市","23","2307"
"231085","穆棱市","23","2310"
"230403","工农区","23","2304"
"230404","南山区","23","2304"
"231123","逊克县","23","2311"
"231124","孙吴县","23","2311"
"231221","望奎县","23","2312"
"231222","兰西县","23","2312"
"231086","东宁市","23","2310"
"230405","兴安区","23","2304"
"230406","东山区","23","2304"
"231181","北安市","23","2311"
"231223","青冈县","23","2312"
"231224","庆安县","23","2312"
"230407","兴山区","23","2304"
"230421","萝北县","23","2304"
"231182","五大连池市","23","2311"
"231183","嫩江市","23","2311"
"231225","明水县","23","2312"
"231226","绥棱县","23","2312"
"230422","绥滨县","23","2304"
"231281","安达市","23","2312"
"231282","肇东市","23","2312"
"150301","市辖区","15","1503"
"150302","海勃湾区","15","1503"
"230101","市辖区","23","2301"
"230102","道里区","23","2301"
"231283","海伦市","23","2312"
"150303","海南区","15","1503"
"150304","乌达区","15","1503"
"230103","南岗区","23","2301"
"230104","道外区","23","2301"
"150501","市辖区","15","1505"
"150502","科尔沁区","15","1505"
"230108","平房区","23","2301"
"230109","松北区","23","2301"
"150521","科尔沁左翼中旗","15","1505"
"150522","科尔沁左翼后旗","15","1505"
"150523","开鲁县","15","1505"
"230110","香坊区","23","2301"
"230111","呼兰区","23","2301"
"150524","库伦旗","15","1505"
"150525","奈曼旗","15","1505"
"230112","阿城区","23","2301"
"230113","双城区","23","2301"
"150526","扎鲁特旗","15","1505"
"150571","通辽经济技术开发区","15","1505"
"230123","依兰县","23","2301"
"230124","方正县","23","2301"
"150581","霍林郭勒市","15","1505"
"230125","宾县","23","2301"
"230126","巴彦县","23","2301"
"230127","木兰县","23","2301"
"230128","通河县","23","2301"
"230129","延寿县","23","2301"
"230183","尚志市","23","2301"
"230184","五常市","23","2301"
"150901","市辖区","15","1509"
"150902","集宁区","15","1509"
"150801","市辖区","15","1508"
"150802","临河区","15","1508"
"150701","市辖区","15","1507"
"150921","卓资县","15","1509"
"150922","化德县","15","1509"
"150821","五原县","15","1508"
"150822","磴口县","15","1508"
"150702","海拉尔区","15","1507"
"150703","扎赉诺尔区","15","1507"
"150721","阿荣旗","15","1507"
"150923","商都县","15","1509"
"150924","兴和县","15","1509"
