"name","code","province_name","province_code"
"北京市","11","北京市","11"
"天津市","12","天津市","12"
"石家庄市","1301","河北省","13"
"唐山市","1302","河北省","13"
"秦皇岛市","1303","河北省","13"
"邯郸市","1304","河北省","13"
"邢台市","1305","河北省","13"
"保定市","1306","河北省","13"
"雄安新区","1331","河北省","13"
"张家口市","1307","河北省","13"
"承德市","1308","河北省","13"
"沧州市","1309","河北省","13"
"廊坊市","1310","河北省","13"
"衡水市","1311","河北省","13"
"太原市","1401","山西省","14"
"大同市","1402","山西省","14"
"阳泉市","1403","山西省","14"
"长治市","1404","山西省","14"
"晋城市","1405","山西省","14"
"朔州市","1406","山西省","14"
"晋中市","1407","山西省","14"
"运城市","1408","山西省","14"
"忻州市","1409","山西省","14"
"临汾市","1410","山西省","14"
"吕梁市","1411","山西省","14"
"呼和浩特市","1501","内蒙古自治区","15"
"包头市","1502","内蒙古自治区","15"
"乌海市","1503","内蒙古自治区","15"
"赤峰市","1504","内蒙古自治区","15"
"通辽市","1505","内蒙古自治区","15"
"鄂尔多斯市","1506","内蒙古自治区","15"
"呼伦贝尔市","1507","内蒙古自治区","15"
"巴彦淖尔市","1508","内蒙古自治区","15"
"乌兰察布市","1509","内蒙古自治区","15"
"兴安盟","1522","内蒙古自治区","15"
"锡林郭勒盟","1525","内蒙古自治区","15"
"阿拉善盟","1529","内蒙古自治区","15"
"沈阳市","2101","辽宁省","21"
"大连市","2102","辽宁省","21"
"鞍山市","2103","辽宁省","21"
"抚顺市","2104","辽宁省","21"
"本溪市","2105","辽宁省","21"
"丹东市","2106","辽宁省","21"
"锦州市","2107","辽宁省","21"
"营口市","2108","辽宁省","21"
"阜新市","2109","辽宁省","21"
"辽阳市","2110","辽宁省","21"
"盘锦市","2111","辽宁省","21"
"铁岭市","2112","辽宁省","21"
"朝阳市","2113","辽宁省","21"
"葫芦岛市","2114","辽宁省","21"
"长春市","2201","吉林省","22"
"吉林市","2202","吉林省","22"
"四平市","2203","吉林省","22"
"辽源市","2204","吉林省","22"
"通化市","2205","吉林省","22"
"白山市","2206","吉林省","22"
"松原市","2207","吉林省","22"
"白城市","2208","吉林省","22"
"延边朝鲜族自治州","2224","吉林省","22"
"哈尔滨市","2301","黑龙江省","23"
"齐齐哈尔市","2302","黑龙江省","23"
"鸡西市","2303","黑龙江省","23"
"鹤岗市","2304","黑龙江省","23"
"双鸭山市","2305","黑龙江省","23"
"大庆市","2306","黑龙江省","23"
