"name","code","city_name","city_code","province_name","province_code"
"东城区","110101","北京市","11","北京市","11"
"西城区","110102","北京市","11","北京市","11"
"朝阳区","110105","北京市","11","北京市","11"
"丰台区","110106","北京市","11","北京市","11"
"石景山区","110107","北京市","11","北京市","11"
"海淀区","110108","北京市","11","北京市","11"
"门头沟区","110109","北京市","11","北京市","11"
"房山区","110111","北京市","11","北京市","11"
"通州区","110112","北京市","11","北京市","11"
"顺义区","110113","北京市","11","北京市","11"
"昌平区","110114","北京市","11","北京市","11"
"大兴区","110115","北京市","11","北京市","11"
"怀柔区","110116","北京市","11","北京市","11"
"平谷区","110117","北京市","11","北京市","11"
"密云区","110118","北京市","11","北京市","11"
"延庆区","110119","北京市","11","北京市","11"
"和平区","120101","天津市","12","天津市","12"
"河东区","120102","天津市","12","天津市","12"
"河西区","120103","天津市","12","天津市","12"
"南开区","120104","天津市","12","天津市","12"
"河北区","120105","天津市","12","天津市","12"
"红桥区","120106","天津市","12","天津市","12"
"东丽区","120110","天津市","12","天津市","12"
"西青区","120111","天津市","12","天津市","12"
"津南区","120112","天津市","12","天津市","12"
"北辰区","120113","天津市","12","天津市","12"
"武清区","120114","天津市","12","天津市","12"
"宝坻区","120115","天津市","12","天津市","12"
"滨海新区","120116","天津市","12","天津市","12"
"宁河区","120117","天津市","12","天津市","12"
"静海区","120118","天津市","12","天津市","12"
"蓟州区","120119","天津市","12","天津市","12"
"长安区","130102","石家庄市","1301","河北省","13"
"桥西区","130104","石家庄市","1301","河北省","13"
"新华区","130105","石家庄市","1301","河北省","13"
"井陉矿区","130107","石家庄市","1301","河北省","13"
"裕华区","130108","石家庄市","1301","河北省","13"
"藁城区","130109","石家庄市","1301","河北省","13"
"鹿泉区","130110","石家庄市","1301","河北省","13"
"栾城区","130111","石家庄市","1301","河北省","13"
"井陉县","130121","石家庄市","1301","河北省","13"
"正定县","130123","石家庄市","1301","河北省","13"
"行唐县","130125","石家庄市","1301","河北省","13"
"灵寿县","130126","石家庄市","1301","河北省","13"
"高邑县","130127","石家庄市","1301","河北省","13"
"深泽县","130128","石家庄市","1301","河北省","13"
"赞皇县","130129","石家庄市","1301","河北省","13"
"无极县","130130","石家庄市","1301","河北省","13"
"平山县","130131","石家庄市","1301","河北省","13"
"元氏县","130132","石家庄市","1301","河北省","13"
"赵县","130133","石家庄市","1301","河北省","13"
"石家庄高新技术产业开发区","130171","石家庄市","1301","河北省","13"
"石家庄循环化工园区","130172","石家庄市","1301","河北省","13"
"辛集市","130181","石家庄市","1301","河北省","13"
"晋州市","130183","石家庄市","1301","河北省","13"
"新乐市","130184","石家庄市","1301","河北省","13"
"路南区","130202","唐山市","1302","河北省","13"
"路北区","130203","唐山市","1302","河北省","13"
"古冶区","130204","唐山市","1302","河北省","13"
"开平区","130205","唐山市","1302","河北省","13"
"丰南区","130207","唐山市","1302","河北省","13"
"丰润区","130208","唐山市","1302","河北省","13"
"曹妃甸区","130209","唐山市","1302","河北省","13"
"滦南县","130224","唐山市","1302","河北省","13"
"乐亭县","130225","唐山市","1302","河北省","13"
"迁西县","130227","唐山市","1302","河北省","13"
"玉田县","130229","唐山市","1302","河北省","13"
"河北唐山芦台经济开发区","130271","唐山市","1302","河北省","13"
"唐山市汉沽管理区","130272","唐山市","1302","河北省","13"
"唐山高新技术产业开发区","130273","唐山市","1302","河北省","13"
"河北唐山海港经济开发区","130274","唐山市","1302","河北省","13"
"遵化市","130281","唐山市","1302","河北省","13"
"迁安市","130283","唐山市","1302","河北省","13"
"滦州市","130284","唐山市","1302","河北省","13"
"海港区","130302","秦皇岛市","1303","河北省","13"
"山海关区","130303","秦皇岛市","1303","河北省","13"
"北戴河区","130304","秦皇岛市","1303","河北省","13"
"抚宁区","130306","秦皇岛市","1303","河北省","13"
"青龙满族自治县","130321","秦皇岛市","1303","河北省","13"
"昌黎县","130322","秦皇岛市","1303","河北省","13"
"卢龙县","130324","秦皇岛市","1303","河北省","13"
"秦皇岛市经济技术开发区","130371","秦皇岛市","1303","河北省","13"
"北戴河新区","130372","秦皇岛市","1303","河北省","13"
"邯山区","130402","邯郸市","1304","河北省","13"
"丛台区","130403","邯郸市","1304","河北省","13"
"复兴区","130404","邯郸市","1304","河北省","13"
"峰峰矿区","130406","邯郸市","1304","河北省","13"
"肥乡区","130407","邯郸市","1304","河北省","13"
"永年区","130408","邯郸市","1304","河北省","13"
"临漳县","130423","邯郸市","1304","河北省","13"
"成安县","130424","邯郸市","1304","河北省","13"
"大名县","130425","邯郸市","1304","河北省","13"
"涉县","130426","邯郸市","1304","河北省","13"
"磁县","130427","邯郸市","1304","河北省","13"
